"state","agency","agency_short","fiscal_year","fy_start","fy_end","identified","removed","attests_active","source_footnote","latitude","longitude","address","agency_raw","source"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2012,2011-10-01,2012-09-30,247,100,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2013,2012-10-01,2013-09-30,8,121,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2007,2006-10-01,2007-09-30,167,21,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2008,2007-10-01,2008-09-30,260,246,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2009,2008-10-01,2009-09-30,352,303,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2010,2009-10-01,2010-09-30,235,200,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2011,2010-10-01,2011-09-30,134,93,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2012,2011-10-01,2012-09-30,64,31,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Yavapai County Sheriff Office","Yavapai County Sheriff",2013,2012-10-01,2013-09-30,2,26,TRUE,TRUE,34.541439,-112.466612,"255 E. Gurley Street Prescott, Arizona 86301","Yavapai County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARKANSAS","Benton County Sheriff Office","Benton County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,36.357786,-94.226052,"1300 SW 14th St, Bentonville, AR 72712","Benton County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARKANSAS","Benton County Sheriff Office","Benton County Sheriff",2007,2006-10-01,2007-09-30,3,3,TRUE,TRUE,36.357786,-94.226052,"1300 SW 14th St, Bentonville, AR 72712","Benton County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARKANSAS","Benton County Sheriff Office","Benton County Sheriff",2008,2007-10-01,2008-09-30,416,303,TRUE,TRUE,36.357786,-94.226052,"1300 SW 14th St, Bentonville, AR 72712","Benton County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARKANSAS","Benton County Sheriff Office","Benton County Sheriff",2009,2008-10-01,2009-09-30,279,167,TRUE,TRUE,36.357786,-94.226052,"1300 SW 14th St, Bentonville, AR 72712","Benton County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARKANSAS","Benton County Sheriff Office","Benton County Sheriff",2010,2009-10-01,2010-09-30,79,31,TRUE,TRUE,36.357786,-94.226052,"1300 SW 14th St, Bentonville, AR 72712","Benton County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
