state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Mississippi,Hinds County,Mississippi Department of Corrections,TUNICA COUNTY SHERIFFS DEPARTMENT / TUNICA COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28143,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,5126 OLD MHOON LANDING ROAD,TUNICA,Tunica,34.6994498,-90.3842829
Mississippi,Hinds County,Mississippi Department of Corrections,UNION COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28145,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,300 CARTER AVE,NEW ALBANY,Union,34.49093419277885,-89.0107166069152
Mississippi,Hinds County,Mississippi Department of Corrections,UNION COUNTY SHERIFFS DEPARTMENT / UNION COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28145,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,300 CARTER AVENUE,NEW ALBANY,Union,34.4910039,-89.0109979
Mississippi,Hinds County,Mississippi Department of Corrections,USP YAZOO CITY,hifld_prisons,FEDERAL,NA,28,28163,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,2225 HALEY BARBOUR PARKWAY,YAZOO CITY,Yazoo,32.891762256548944,-90.44593844628432
Mississippi,Hinds County,Mississippi Department of Corrections,WALTHALL COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28147,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,807 MAGNOLIA AVENUE,TYLERTOWN,Walthall,31.117315827980267,-90.142219045856
Mississippi,Hinds County,Mississippi Department of Corrections,WALTHALL COUNTY SHERIFFS DEPARTMENT / WALTHALL COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28147,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,807 MAGNOLIA AVENUE,TYLERTOWN,Walthall,31.1169558,-90.1418881
Mississippi,Hinds County,Mississippi Department of Corrections,WARREN COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28149,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1000 GROVE STREET,VICKSBURG,Warren,32.35123040904747,-90.87774670127756
Mississippi,Hinds County,Mississippi Department of Corrections,WARREN COUNTY JUVENILE DETENTION CENTER,hifld_prisons,COUNTY,NA,28,28149,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1100 GROVE STREET,VICKSBURG,Warren,32.350753813347424,-90.87690111711734
Mississippi,Hinds County,Mississippi Department of Corrections,WARREN COUNTY SHERIFFS DEPARTMENT / WARREN COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28149,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1000 GROVE STREET,VICKSBURG,Warren,32.351310601,-90.877820145
Mississippi,Hinds County,Mississippi Department of Corrections,WASHINGTON COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,903 WEST ALEXANDER STREET,GREENVILLE,Washington,33.40848471869802,-91.05198797166008
Mississippi,Hinds County,Mississippi Department of Corrections,WASHINGTON COUNTY JUVENILE JUSTICE CENTER,hifld_prisons,COUNTY,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,3330 UNITED STATES HIGHWAY 82 EAST,GREENVILLE,Washington,33.40151687387213,-91.00331901764301
Mississippi,Hinds County,Mississippi Department of Corrections,WASHINGTON COUNTY REGIONAL CORRECTIONAL FACILITY,hifld_prisons,COUNTY,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,60 STOKES KING ROAD,GREENVILLE,Washington,33.33414116540719,-91.1360151683295
Mississippi,Hinds County,Mississippi Department of Corrections,WASHINGTON COUNTY SHERIFFS DEPARTMENT / WASHINGTON COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28151,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,903 WEST ALEXANDER STREET,GREENVILLE,Washington,33.4084265,-91.0518789
Mississippi,Hinds County,Mississippi Department of Corrections,WAYNE COUNTY ADULT DETENTION FACILITY,hifld_prisons,COUNTY,NA,28,28153,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,613 COURT ST,WAYNESBORO,Wayne,31.67679395531013,-88.6494539305601
Mississippi,Hinds County,Mississippi Department of Corrections,Wayne County Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,613 Court Street,Waynesboro,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,WEBSTER COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28155,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,87 GOVERNMENT AVE,EUPORA,Webster,33.53539276986326,-89.26366138629149
