source,state,agency,date_signed,moa_file
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Goliad County Sheriff's Office,2017-06-26,287gJEM_GoliadCoTx2017-06-26.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Jackson County Sheriff's Office,2017-01-26,287gJEM_JacksonCoTx2017-01-26.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Kendall County Sheriff's Office,2018-03-26,287g_KendallCountyTX.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Kendall County Sheriff's Office,2020-03-13,287gJEM_KendallCoTX_03-13-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Lavaca County Sheriff's Office,2017-06-30,287gJEM_LavacaCoTx2017-06-30.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Lubbock County Sheriff's Office,2016-11-16,287gJEM_LubbockCoTx2016-11-16.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Matagorda County Sheriff's Office,2017-07-27,287gMatagordaTx2017_07_27.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Montgomery County Sheriff's Office,2017-06-28,montgomery-tx-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Potter County Sheriff's Office,2018-01-25,287gJEM_PotterCoTx2018-01-25.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Refugio County Sheriff's Office,2017-06-28,287gJEM_RefugioCoTx2017-06-28.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Rockwall County Sheriff's Office,2018-01-25,287gJEM_RockwallCoTx2018-01-25.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Smith County Sheriff's Office,2017-04-25,287gJEM_SmithCoTx2017-04-25.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Tarrant County Sheriff's Office,2017-06-19,287gJEM_TarrantCoTx2017-06-19.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Terrell County Sheriff's Office,2018-01-25,287gJEM_TerrellCoTx2018-01-25.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Victoria County Sheriff's Office,2017-07-12,287gJEM_VictoriaCoTx2017-07-12.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Walker County Sheriff's Office,2017-07-20,287gJEM_WalkerCoTx2017-07-20.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Waller County Sheriff's Office,2017-05-22,287gWallerTx2017-05-22.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Wharton County Sheriff's Office,2017-07-17,287gJEM_WhartonCoTx2017-07-17.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Whitfield County Sheriff's Office,,whitfieldcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Williamson County Sheriff's Office,2018-02-08,287gJEM_WilliamsonCoTx2018-02-08.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Williamson County Sheriff's Office,2020-05-04,287gJEM_WilliamsonCoTX_05-04-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Culpeper County Sheriff's Office,2018-04-24,287g_CulpeperCounty_2018-04-24.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Culpeper County Sheriff's Office,2020-06-08,287gJEM_CulpeperCoVA_06-08-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Herndon Police Department,,herndonpolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,"Manassas Park, City of",,cityofmanassaspark.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,"Manassas, City of",,cityofmanassas.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Prince William County Police Department,,boardofcountysupervisorsofprincewilliamcountypolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Prince William County Sheriff's Office,,boardofcountysupervisorsofprincewilliamcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Prince William-Manassas Regional ADC,2009-10-15,jailboardofprincewilliam-manassasregionaladultdetentioncenter.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Prince William-Manassas Regional ADC,2016-06-23,287gJEM_PrinceWilliam-ManassasRegionalAdultDetentionCenterVa2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Rockingham County Sheriff's Office,,rockinghamcountyvirginiasheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Virginia,Shenandoah County Sheriff's Office,,shenandoahcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Wisconsin,Lafayette County Sheriff's Office,2020-08-21,287gWSO_LafayetteCoWI_8-21-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Wisconsin,Waukesha County Sheriff's Office,2018-02-22,287gJEM_WaukeshaCoWi2018-02-22.pdf
