"state","agency","jurisdiction_level","county_fips","county_name","first_signed_best","first_signed_source","latest_signed","signing_dates","models","active_from","active_to","terminated","n_rosters","in_ice_roster","in_kostandini","in_yale_2008","n_sources","confidence","moa_files","moa_pdf_present","moa_archived_url"
"RHODE ISLAND","Rhode Island State Police","statewide",,,2009-10-15,"ICE roster (earliest observed)",2009-10-15,"2009-10-15","Task Force",2010-10-29,2010-10-29,TRUE,1,TRUE,FALSE,FALSE,1,"medium","r_287grhodeislandstatepolice101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287grhodeislandstatepolice101509.pdf"
"SOUTH CAROLINA","Beaufort County Sheriff's Office","local","45013","Beaufort County, SC",2008-06-25,"Kostandini Table A1",2008-06-25,"2008-06-25","Task Force",2010-10-29,2012-10-16,TRUE,9,TRUE,TRUE,FALSE,2,"high","r_287gbeaufort101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gbeaufort101509.pdf"
"SOUTH CAROLINA","Charleston County Sheriff's Office","local","45019","Charleston County, SC",2009-11-09,"Kostandini Table A1",2016-06-23,"2009-11-09; 2013-06-28; 2016-06-23","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gcharlestoncounty.pdf; r_287gcharlestoncounty110909.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcharlestoncounty.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcharlestoncounty110909.pdf"
"SOUTH CAROLINA","Horry County Sheriff's Office","local","45051","Horry County, SC",2017-06-30,"ICE roster (earliest observed)",2017-06-30,"2017-06-30","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","Horry-sc-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/Horry-sc-2017.pdf"
"SOUTH CAROLINA","Lexington County Sheriff's Office","local","45063","Lexington County, SC",2010-08-19,"Kostandini Table A1",2016-11-04,"2010-08-19; 2013-07-30; 2016-11-04","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287glexingtoncountysheriffsdept.PDF; r_287glexingtoncountysheriffsdept.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287glexingtoncountysheriffsdept.PDF; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287glexingtoncountysheriffsdept.pdf"
"SOUTH CAROLINA","York County Sheriff's Office","local","45091","York County, SC",2007-10-16,"Kostandini Table A1",2016-06-28,"2007-10-16; 2013-06-28; 2016-06-28","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gyorkcountyso.pdf; r_287gyorkcountyso101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gyorkcountyso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gyorkcountyso101509.pdf"
"TENNESSEE","Davidson County Sheriff's Office","local","47037","Davidson County, TN",2007-02-21,"Kostandini Table A1",2007-02-21,"2007-02-21","Jail Enforcement",2010-10-29,2012-10-02,TRUE,8,TRUE,TRUE,FALSE,2,"high","r_287gnashvilledavidson101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gnashvilledavidson101509.pdf"
"TENNESSEE","Knox County Sheriff<U+2019>s Office",,,,2017-06-15,"ICE roster (earliest observed)",2017-06-15,"2017-06-15","Jail Enforcement",2017-07-02,2017-08-01,FALSE,2,TRUE,FALSE,FALSE,1,"medium","KnoxCounty.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/KnoxCounty.pdf"
"TENNESSEE","Tennessee Highway Patrol / Department of Safety","statewide",,,2008-06-25,"Kostandini Table A1",2008-06-25,"2008-06-25","Task Force",2010-10-29,2012-10-16,TRUE,9,TRUE,TRUE,FALSE,2,"high","r_287gtennesseehighwaypatrol101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gtennesseehighwaypatrol101509.pdf"
"TEXAS","Aransas County Sheriff's Office","local","48007","Aransas County, TX",2017-06-30,"ICE roster (earliest observed)",2017-06-30,"2017-06-30","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","aransas-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/aransas-tx-2017.pdf"
"TEXAS","Calhoun County Sheriff<U+2019>s Office",,,,2017-06-28,"ICE roster (earliest observed)",2017-06-28,"2017-06-28","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","calhoun-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/calhoun-tx-2017.pdf"
"TEXAS","Carrollton Police Department","local","48113; 48085; 48121","Dallas County, TX; Collin County, TX; Denton County, TX",2008-08-12,"Kostandini Table A1",2016-06-13,"2008-08-12; 2013-06-28; 2016-06-13","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gcarrollton.pdf; r_287gcarrollton101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcarrollton.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcarrollton101509.pdf"
"TEXAS","Chambers County Sheriff<U+2019>s Office",,,,2017-07-17,"ICE roster (earliest observed)",2017-07-17,"2017-07-17","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","chambers-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/chambers-tx-2017.pdf"
"TEXAS","DeWitt County Sheriff<U+2019>s Office",,,,2017-06-30,"ICE roster (earliest observed)",2017-06-30,"2017-06-30","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","DeWitt-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/DeWitt-tx-2017.pdf"
"TEXAS","Farmers Branch Police Department","local","48113","Dallas County, TX",2008-07-08,"Kostandini Table A1",2008-07-08,"2008-07-08","Task Force",2010-10-29,2012-10-16,TRUE,9,TRUE,TRUE,FALSE,2,"high","r_287gfarmersbranchpd101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gfarmersbranchpd101509.pdf"
"TEXAS","Galveston County Sheriff<U+2019>s Office",,,,2017-06-30,"ICE roster (earliest observed)",2017-06-30,"2017-06-30","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","galveston-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/galveston-tx-2017.pdf"
"TEXAS","Goliad County Sheriff<U+2019>s Office",,,,2017-06-26,"ICE roster (earliest observed)",2017-06-26,"2017-06-26","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","goliad-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/goliad-tx-2017.pdf"
"TEXAS","Harris County Sheriff's Office","local","48201","Harris County, TX",2008-07-20,"Kostandini Table A1",2016-06-28,"2008-07-20; 2013-11-04; 2016-06-28","Jail Enforcement",2010-10-29,2017-01-29,TRUE,28,TRUE,TRUE,FALSE,2,"high","r_287gharriscountyso.pdf; r_287gharriscountyso111609.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gharriscountyso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gharriscountyso111609.pdf"
"TEXAS","Jackson County Sheriff's Office","local","48239","Jackson County, TX",2017-01-26,"ICE roster (earliest observed)",2017-01-26,"2017-01-26","Jail Enforcement",2017-03-05,2017-07-02,TRUE,4,TRUE,FALSE,FALSE,1,"medium","jacksoncounty.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/jacksoncounty.pdf"
"TEXAS","Lavaca County Sheriff<U+2019>s Office",,,,2017-06-30,"ICE roster (earliest observed)",2017-06-30,"2017-06-30","Jail Enforcement",2017-08-01,2017-08-01,FALSE,1,TRUE,FALSE,FALSE,1,"medium","lavaca-tx-2017.pdf",FALSE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/lavaca-tx-2017.pdf"
"TEXAS","Lubbock County Sheriff's Office","local","48303","Lubbock County, TX",2016-11-16,"ICE roster (earliest observed)",2016-11-16,"2016-11-16","Jail Enforcement",2016-12-11,2017-08-01,FALSE,7,TRUE,FALSE,FALSE,1,"medium","lubbockCounty_11-16-2016.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/lubbockCounty_11-16-2016.pdf"
